test_key_val.keys,test_key_val.rt,test_key_aro.keys,test_key_aro.rt,test_key_qual.keys,test_key_qual.rt,test_key_ncat.keys,test_key_ncat.rt,test_key_cats.keys,test_ncat_order.thisRepN,test_ncat_order.thisTrialN,test_ncat_order.thisN,test_ncat_order.thisIndex,test_ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_filename,link,copyright,test_key_cats.rt,slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
,,,,,,,,,,,,,,main,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,6,10.1123,4,5.2978,2,3.8442,7,2.2664,1,5.3552,5,0.7486,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,second,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,third,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,,,,,
,,,,,,,,,,,,,,fourth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,,,,,,,,,
,,,,,,,,,,,,,,fifth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,,,,,,,,,
,,,,,,,,,,,,,,sixth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,,,,,,,,,
,,,,,,,,,,,,,,seventh,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,1,,,,,,,,,
,,,,,,,,,,,,,,last,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,,,,,,,,,
,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,139,1,DreamStudyImages_rs1000x750g/Food/IAPS7477_sushi.jpg,,,
,,,,,,,,,,,,,,main,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,3,7.0623,3,1.7447,6,2.4089,3,8.0674,8,2.5668,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,second,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,7,2.5558,0,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,third,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,6,0.7177,0,2,2,2,1,,,,,,,,,
,,,,,,,,,,,,,,fourth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,,,,,,,,,
,,,,,,,,,,,,,,fifth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,,,,,,,,,
,,,,,,,,,,,,,,sixth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,,,,,,,,,
,,,,,,,,,,,,,,seventh,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,1,,,,,,,,,
,,,,,,,,,,,,,,last,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,,,,,,,,,
,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,145,1,DreamStudyImages_rs1000x750g/Water/16_CHECK.jpg,,,
